Artista;Cancion;Lyrics;Etiqueta;Expresion
anagabriel;Por T;"  
  
Una noche mas de insomnio   
mi mente volando   
y perdiendose en la obscuridad   
  
Pensando se pasan las horas   
imagenes vienen y van   
tormenta en mi alma pregunto   
zcon quien estaras?   
  
Y es por ti   
que sigo esperando oh, oh   
que sigo llorando oh, oh   
y tu feliz   
  
No, no puedo quedarme aqui   
dejarte escapar asi   
te pierdo y no puedo mas   
  
No, no puedo quedarme aqui   
de brazos cruzados si   
te quiero y voy a luchar por ti   
  
Te adueñaste de mi sueno   
la noche testigo cercana de mi soledad   
doy vueltas y no me acomodo   
el día me ve amanecer   
perdida entre humo y coraje voy a enloquecer   
";0;
jalvarez;Tentandome;"  
  
Tentándome  
Ella no está hablando pero su mirada está seduciéndome  
Esta con cuatro amigas  
Están todas ricas desde la cabeza hasta los pies  
Tira pa' atrás hecha de Colombia  
Y tiene un hombre que es un gangster yo sé  
Vete y dile que yo tengo una 40 y que vivo en guerra también  
  
Yo sé lo que tu estas buscando  
En la disco bebiendo y fumando  
Tu doble cara me sique tentando  
Por ley en esta noche te mato  
  
Cuando andas en la disco  
A tu baby te la confisco  
Arisco  
Mi corta en tu cara te deja bizco  
Mosca, me enamora cuando se toca  
Si tu no la calienta va besar otra boca  
Ella es blanquita como la coca  
Pero tú la tratas como una loca  
Que pereza  
Sus ojos azules turquesa  
Chingamos en la cama y en la mesa  
  
Eso que tu me das  
Me tiene loco aqui frente de usted  
Sinceramente aqui la quiere tener  
Tu eres candela de lejitos se te ve  
Baby yo!  
  
Ojo  
Te robo a tu mujer si me antojo  
En mi glock, los concubanos son rojos  
Bebe si te cojo  
Te lo pongo y te alojo  
Mis putas no me escogen baby yo las escojo  
Ella celosa  
Pero nunca envidiosa  
Se hizo la nalga y se considera una diosa  
Tenía las tetas hecha  
Ahora la tiene rehecha  
Antes era una insegura ahora está satisfecha  
Sin cojone ella tiene corta la mecha  
Se tatuó la muerte en la mano derecha  
Siempre que estoy con otra sospecha  
Pero lo que tú siembras lo cosechas  
";1;"Te robo a tu mujer si me antojo
En mi glock, los concubanos son rojos
Bebe si te cojo
Te lo pongo y te alojo
Mis putas no me escogen baby yo las escojo"
alejandrosanz;Cuando Acabas Tu;"  
  
La injusticia me mordio,   
en total desigualdad   
por un segundo en escuchar   
Di mi vida en escribir   
hoy tu silencio me costo   
Secar la musica del mar   
El hijo del que sabe mas   
Se hizo gigante y me robo   
  
Pero tu causa no necesita motivos   
y solo por eso no entendere a tu enemigo   
y por que cuanda acabas tu, no hay nada mas despues  
  
Dame la fuerza para morir contigo   
musica quedas, pero cuando acabas tu   
¿Que quedara despues?  
   
Sastres de la falsedad,   
no hagais trajes para mi   
voy desnudo en mi verdad,   
cuando canto por ahi   
Asi que no  
Hoy tu silencio me costo   
Secar la musica del mar   
El hijo del que sabe mas se hizo gigante y me robo  
";0;
camila;Me Dijiste Aquella Vez;"  
  
Tu capricho es que yo fuera lo que fuiste  
Yo no puedo ser como tú  
Porque como tú  
Uno ya existe  
  
Escogí un camino duro y diferente  
Pero amar lo que hago  
Me hizo  
Resistente  
  
He alejado del lugar donde nací  
A un recuerdo, tus palabras que mataban  
Mis sueños, mis anhelos, mi futuro, los destellos  
El confort y lo de siempre no, eso no es para mí  
  
Abogado, contador  
O un puesto público  
Bombero, policía o barrendero  
Todo menos músico  
  
Diputado, senador  
O transportista  
Ingeniero, curandero, vendedor  
Pero por favor no artista  
  
La moral está primero  
Eso no es lo que yo quiero  
Me dijiste aquella vez, abuelo  
  
Si pensaste que lo mío era rebeldía  
Ahora entenderás que no  
Pues trabajo de esto  
Noche y día  
  
Vine con el alma nómada incluida  
Tengo lo que necesito  
Y porque así me siento lo repito  
Soy feliz, feliz, feliz  
Feliz, feliz, feliz  
";0;
alejandrofernandez;Nuestro Gran Secreto;"  
  
Si supiera con los ojos que la miro  
Si supiera cuánto me muero de ganas  
Por quitarle ese bonito vestido  
Y de pronto abusar un poco, ja, de su confianza  
  
Tal vez yo le suene un poco atrevido  
Pero cuando alguien me gusta eso me pasa  
Me cuesta mucho trabajo controlar  
Los instintos de animal y esas ansias de besarla  
  
¿Y qué le parece a usted? Para mí sería un placer  
Probar las mieles de su cuerpo  
Prometo hacerla enloquecer y para serle más exacto  
Quiero faltarle al respeto  
  
Hay que tener discreción, no decir ni una palabra  
De lo que está sucediendo  
Para el bien de los dos, como ya tiene compromiso  
Será nuestro gran secreto  
";1;"Si supiera cuánto me muero de ganas
Por quitarle ese bonito vestido
Y de pronto abusar un poco, ja, de su confianza

Prometo hacerla enloquecer y para serle más exacto
Quiero faltarle al respeto"
arcangel;Flow Violento;"  
  
Lara Mercy, Austin  
Ehxx  
Tengo una brillante idea  
¿Por qué no continuamos hablando mierda?  
  
De nuevo Austin va al ataque  
Ya que es normal que del parque la saque  
Prende un Phillie con dos rolo' y me pide que la rescate  
Allá voy (Voy)  
Sellao el empaque  
De pasto, que no hay quién me lo arrebate  
  
Oye, mami, te ves bien, tengo que felicitarte  
Llevas un par de años y ese booty sigue gigante  
Ya es tanto éxito, que pocos me soportan  
Yo soy la luz del túnel, por mis brillos se transportan  
  
Y en lo oscuro veo, veo, tu cara tiene un deseo  
Fanática de mis deos, con mi lengua yo buceo  
Dando vueltas como hacen los feos  
Soy un león y no lo' leo, yo  
  
Vamo' a hacerlo al ritmo de los decibeles  
El género pa' mí es un juego, yo siempre subo niveles  
Yo no soy quien los agobia, es mi flow quien los agrede  
En esto yo soy leyenda, ahora es mi hijo quien procede, yo  
  
Por eso ando caminando con un flow violento  
Con un piquete cabrón  
Son tantos años que soñaba yo con este momento  
Y sin rasparlo hizo un movimiento  
  
A pulmón, aquí no existe atajo  
Por eso nunca le bajo  
Sus nalgas rebotan con el bajo  
De escucharme se le moja el tajo  
Me le pego y (Brr)  
En cuatro pata', como escarabajo  
  
Prende los motores  
Del género soy el fuego y también lo' repetidores  
Me elevo sin usar rotores  
Tengo sicarios en mi banda, fanático de tambores  
  
¿Retirarme a mí? Qué ironía  
Yo soy el paquete, pero también soy la vía  
¿Tú dices que me apagué? No hagas que yo me ría  
Porque no es cuando tú digas, es cuando Austin decida (Let's go)  
  
Y por eso vivo sin estrés  
Arcángel es Arcángel, no compares la Gucci con la Guess  
Y por más que te lo digo, no me crees que  
Carros tenía uno, tenía dos, tenía tres  
Ahora son cuatro (La Marizon)  
  
";1;"Oye, mami, te ves bien, tengo que felicitarte
Llevas un par de años y ese booty sigue gigante

Y en lo oscuro veo, veo, tu cara tiene un deseo
Fanática de mis deos, con mi lengua yo buceo

A pulmón, aquí no existe atajo
Por eso nunca le bajo
Sus nalgas rebotan con el bajo
De escucharme se le moja el tajo
Me le pego y (Brr)
En cuatro pata', como escarabajo"
antonioaguilar;Que Te Ha Dado Esa Mujer;"  
  
¿Qué te ha dado esa mujer?  
¿Que te tiene tan engreído, querido amigo?  
Querido amigo, yo no sé lo que te ha dado  
  
Cada que la veo venir  
Se agacha y se va de lado, querido amigo  
Querido amigo, ese amor no puede ser  
  
Si el propósito yo hiciera de dejarla  
Mi destino es comprenderla y olvidarla  
  
Lo que no le diga hoy  
Ay se lo diré mañana, querido amigo  
Querido amigo, más vale, mejor morir  
  
Ya hace cuatro o cinco días que no la miro  
Que no la miro sentadita en su ventana  
";0;
anagabriel;Me Estoy Enamorando;"  
  
Eres toda mi alegria   
y no estas aqui conmigo   
eres mi cancion sin verso   
poema sin estrofa   
  
No se que veo en ti   
pero me agrada tu voz   
  
Yo no se si me hace falta la razón   
pero yo quiero vivir junto a ti   
  
Me estoy enamorando ahora   
sola no resistire   
me estoy enamorando ahora   
se que no soportare   
  
Quiero tenerte aqui   
yo necesito de ti   
  
Que tu amor fue mi sorpresa   
que cambio mi vida entera   
no me niegues de tus besos   
que a todo estoy dispuesta   
  
";0;
cafetacuba;Camino Y Vereda;"  
  
Más nos vale  
Que esta verdad que andamos  
Se convierta en camino, amigos  
Pues justo dimos el paso  
Que nos aleja más del principio  
Que de llegar a algún sitio  
A donde nunca jamas  
Nadie haya ido  
  
Mas valiente ha de ser  
Uno a alejarse de este mundo  
Nuestro y conocido  
Pues justo dimos el paso  
Que nos acerca más a algún sitio  
El recorrido libre ya nos hizo  
Y aquel sitio solamente intuimos.  
  
";0;
arcangel;Me Prefieres A Mi;"  
  
Si tu te vuelves loca por mi.  
Y yo me vuelvo loco por ti.   
Entonces mami deja el novio que tu tienes   
Dile que tu no lo quieres y que me prefieres a mi  
  
Oye, se que tienes novio que te trata bien,  
Pero no como yo, yo te trato al cien.  
El te da buen sexo, a veces calor.  
Yo no te doy sexo, yo te hago el amor.  
Te llevo janguiar, a la discoteca de otro planeta.  
V.i.p sin chequear maleta.  
Yo te soy real, el ta' lleno e' feca.  
Dice muchas cosas,  
Y ninguna son concreta'  prrrrrra   
  
Aveces en la vida a que tomar decisiones.  
Aveces, esas decisiones rompen corazones.  
Pero tienes que pensar en ti primero,   
Y no en los otros aunque cause dolor y deje sentimientos rotos   
Las heridas sanan pero, el tiempo no se detiene.  
No entiendo porque sigues con el,   
Cuando aquí me tienes esperando por ti   
Se que ne prefieres a mi.  
Estoy consiente que lo quieres pero me amas a mi.  
  
Austin... la maravshhh  
Baby nunca permitas,  
Que el amor se convierta en una rutina   
El verdadero amor esta tan cerca.  
Pero tu eres tan terca.  
Si sabes bien que cuando a mi te acercas,  
A la realidad despiertas.  
";0;
