Artista;Cancion;Lyrics;Etiqueta;Expresion
badbunny;MIA 708486;" 
 
Todos están pendiente a ti (woo) 
Pero tú puesta pa' mí (aja) 
Haciendo que me odien más (yeh-yeh-yeh) 
 
Porque todos te quieren probar (uh) 
Lo que no saben es que no te dejas llevar de cualquiera 
Y todos te quieren probar (hah) 
Lo que no saben es que hoy yo te voy a buscar (yeh-yeh) 
 
Dile que tú eres mía-mía 
Tú sabes que eres mía-mía 
Tú misma lo decías 
Cuando yo te lo hacía (yeh) 
 
Bebé, yo soy fan de tu caminar (woo) 
Te doy todo lo mío, hasta mi respirar (yeh) 
Contigo veo todo como en espiral (yeh) 
Quiero tirarnos fotos y que se hagan viral (hah) 
Tus ojos me concentran como Aderall (woo) 
Contigo me sube el overall (yeh) 
Te toco y hasta el mundo deja de girar (woo-woo) 
A nosotros ni la muerte nos va a separar 
Bebé, yo soy tuyo na' más (na' más) 
Diles que conmigo te vas (woo) 
Que dejen de tirarte (rrr) 
Que a ti nadie va a tocarte 
 
Yo soy tu Romeo, pero no Santo (no) 
A estos bobos con la forty los espanto (plo-plo) 
Muchas me quieren desde que yo canto 
Pero yo soy tuyo no más (woo) 
 
Dile que tú eres mía desde la high (desde la high, yeh) 
El yerno favorito de tu mai (de tu mai) 
El capo que tenía to' las Jordans y las Nike (y las Nike, woo-woo) 
Dile a estos bobos que dejen de darte like (de darte like) 
Quiero está noche entera 
Pa' recordar los tiempos en la escalera (la escalera) 
Dile que yo no soy cualquiera 
Yo soy tu primero, tú eres mi primera (yah-yah-yah) 
 
";1;"Dile que tú eres mía-mía
Tú sabes que eres mía-mía
Tú misma lo decías
Cuando yo te lo hacía (yeh)

Dile que tú eres mía desde la high (desde la high, yeh)"
antonioaguilar;Eres Zapato Pisado;" 
 
Ay ay ay! 
Chancla de mula de rancho 
Re torcida y fea, fea fea fea 
 
Zapato de media zuela 
Ya te pise y ahi te dejo 
Cuando nuevesito estabas 
Yo te bolie muy parejo 
Pero ahora ni el brillo agarras 
Ere puro cuero viejo (y arrugao) 
 
Me diste mil tropezones 
Querias dejarme tirado 
Con todos tus resbalones 
Quedates muy desgastado 
Solo te quedan tacones 
Y clavos que te he dejado 
 
Eres zapato pisado 
Paseado por onde quiera 
Ya tienes la horma perdida 
Tu numero es de cualquiera 
Con todos das la medida 
Y hasta te sobra carrera 
 
Ay ay ay! 
Si mujer 
Eres de un malnil, muy pareja 
Y eres como la mazorca, que donde quiera se desgrana 
 
Sigue arrastrando en el suelo 
Dale tu amor a cualquiera 
Sigue gozando la vida 
Al cabo nada te queda 
Eres de zuela corrida 
Yo te gaste la primera 
 
La chacla vieja que tiro 
Que la recoja el que quiera 
Al que le guste el partido 
Que te haga su compañera 
Al cabo no vivo engreido 
Chanclas hay por donde quera 
 
";1;"Eres zapato pisado
Paseado por onde quiera
Ya tienes la horma perdida
Tu numero es de cualquiera
Con todos das la medida
Y hasta te sobra carrera

Ay ay ay!
Si mujer
Eres de un malnil, muy pareja
Y eres como la mazorca, que donde quiera se desgrana

Sigue arrastrando en el suelo
Dale tu amor a cualquiera
Sigue gozando la vida
Al cabo nada te queda
Eres de zuela corrida
Yo te gaste la primera

La chacla vieja que tiro
Que la recoja el que quiera
Al que le guste el partido
Que te haga su compañera
Al cabo no vivo engreido
Chanclas hay por donde quera"
antonioaguilar;El Timido;" 
 
Les contaré un parrafito 
Que me llegó a suceder 
El que de una señorita 
Yo me dejara vencer 
Que tiranía de mujer 
A lo que sea facilita 
Porque ya no era chiquita 
Todo lo que ahí se le alcanza 
Me ha metido en esta danza 
Esa muchacha bonita 
 
Esa muchacha bonita 
Unos besitos me dió 
La verdad yo no quería 
Pero allá siempre se armó 
Cuando me empezó a seguir 
Corrimos bastante tierra 
No me pude resistir 
No había quien me defendiera 
Ay que mujer ligera 
Mucha tierra me siguió 
 
Por fin siempre me alcanzó 
Me agarró de las orejas 
Me dijo, ahora te dejas 
Y unos besitos me dió 
Ella me decía que sí y yo le decía que no 
Al fin pudo más que yo 
Que hasta me llegó a tumbar 
No me dejó levantar 
Amachada en su porfía 
 
Me abrazaba y me mordía 
Y yo le escondía la cara 
Yo, porque no me estrujara 
Por eso, yo no quería 
Luego que pasó el suceso 
Partí en carrera de huida 
Porque en el último beso 
Me atarrajó una mordida 
La boca traigo partida 
Y como le pensé salió 
Por eso yo no quería 
Por no ultrajar mi honradez 
'Hora yo soy un perdido 
Y arrastraré mi destino 
Ya Dios me dió éste camino 
Por culpa de una mujer 
";0;
sodastereo;Coral;" 
 
El reloj 
marcó la hora del final 
de otra epoca vacía. 
 
Despertó 
con el perfume embriagador 
de comenzar su nueva vida. 
 
El paisaje alrededor 
siente que la abraza. 
Una brisa tropical 
fortalezas de agua. 
 
Piensa en formas de coral. 
 
No conocía otra razón 
que una razón cada día 
y de una batalla por las noches. 
 
Corre y sueña bajo el sol 
siente que lo alcanza, 
liberada del temor 
de volver a casa. 
 
Junta formas de coral 
 
Todo aquello que dejó 
se hundirá en la arena, 
el secreto entre los dos 
es que nunca volverá. 
";0;
polimawestcoast;Live Fast Die Young;" 
 
El Ambidieztro 
All my chain, all my chain 
On my neck, on my neck 
Ice (Yeah) 
On my neck, on my neck (Auh) 
No Poli, no otra vez 
 
Supreme my bag (Supreme my bag, ad) 
Don't see my cash (Cash, hold on, wait) 
We broke for love (We broke for love ah) 
Don't broke for trap (Ah, don't broke for trap) 
I whip my wrist 
I fuck it your bitch (Ay) 
Don't kiss my lips (Ah) 
Bitch, kiss my dick 
 
I live fast, shawty, or die young (Young) 
I have don't feeling I fuck your bitch, for fun (Ah) 
Busy nigga, I will never die alone (Yeah) 
All these haters funny, they are my son, yeah 
 
¿Qué le das a tu perro? Creo que Champion (Wow) 
La vida por mis negro', no me quedo como Sansón 
No importa lo que diga' si esto es no má' que una canción 
Y si no estoy en el trap, qué raro, soy Marilyn Manson (Ah, ah) 
No mire así, (Ah, ah) no te debo (Yah) 
¿Qué quiere' de mí? (Auh) 
Un fan oculto (Oh, ah) 
Se reveló (Ah, yah) 
Luego cayó (Ah, yah) 
No resistió (Ah, yah) 
Te disparó (Paw, paw) 
No Poli, no otra vez 
 
Soy el negro con oro que parece taxi (Yeah, ah) 
Smokin' big blunt, nunca hachi' 
Eres un trapero, pero casi 
Tu envidia me da alergia, hold up (Ah), achi (ah) 
Llenando la bolsa (Wah), jamá' vendiendo esa cosa 
Yo sé como e' la cosa (Wah), no termino con esposa' (Nah, nah) 
Mira my neck (Ah, ah) 
Chasin' the check (Ah, ah, chasin' the check) 
Haciendo trek (Ah) 
Él se parece a Shrek (Wah, wah) 
Dime: Jimi Hendri', yo estoy en el trendy (-dy) 
Humo no los vendí (Wah) 
Caro como Wendy (Wah, wah, wah), uh 
Caro como Wendy: (Shit, shit), uh, uh, uh (Shit, shit) 
";1;"I fuck it your bitch (Ay)
Don't kiss my lips (Ah)
Bitch, kiss my dick

I have don't feeling I fuck your bitch, for fun (Ah)"
juangabriel;Lily;" 
 
Lily, no estés llorando, ya no hagas caso, del que dirán 
Piensa que lo importante, en esta vida, es solo amar 
 
No olvides que el si te quiere, que no te miente, es la verdad 
 
Lily, mi linda Lily no debes de llorar, 
Lily, como el te quiere, nunca nadie te quera 
Y lo puedes, comprobar, con su manera de mirar 
 
Por eso Lily no pienses mal, debes confiar en ese amor 
Que el siente por ti, si, Lily 
";0;
monlaferte;Que S;" 
 
Que Sí 
Que Sí son los mismos 
Que Sí una semana atrás 
Prometieron conocerse 
 
Que Sí 
Que Sí son ellos 
Los que querían ir a una montaña 
Y perderse... 
 
Sí 
Son esos que van ahí 
Caminando y cantando 
A alguno que otro árbol del bosque 
 
Sí 
Son esos que van ahí 
Esos que hacen locuras 
Bajo la lluvia en la noche 
 
Oh Sí 
Oiga son esos dos 
Que esa noche se encerraron 
A entregarse su amor 
 
Esos dos 
Se derritieron 
Frente a una fogata 
Todo, todo se dijeron 
 
Oh Sí 
Ella se preguntaba 
Pero ya sabe 
Que el está loco y que 
 
Le ama 
";0;
arcangel;Lentamente;" 
 
Ya son las diez y espero 
Volverte a ver aquí 
Aquí en mi lugar 
 
Ya son las diez y espero 
Volver a verte aquí 
Sé que llegaras 
 
Tu olor, perfume que mata 
Lentamente 
Lentamente lento, lento 
Lentamente lento, lento 
 
Yo te vi llegar (yo te vi llegar) 
Y me puse mal (y me puse mal) 
Todo me cambio 
Tu solo tú 
El tenerte cerca 
Te confieso que (te confieso que) 
Quiero hacerlo ya 
De manera que me pidas más 
Cuando amanezca 
 
Tú no sabes que me matas 
Me haces perder la noción del tiempo 
Tú me debilitas 
Si me necesitas solo llámame 
Para hacerlo 
 
Lentamente lento, lento 
Lentamente lento, lento 
 
Dabaupa, dabaupa, dabaupa 
Dabaupa pampampaaa pampampaaa (ah) 
 
Y lo que pasas se enloquece 
Porque nos gustamos tanto 
Es una atracción fatal 
Esto no es normal 
No quiero más nada 
Solo rendirme entre tus brazos 
Tu espacio entre los cuerpos 
 
 
";0;
anuelaa;Bugatti Freestyle;" 
 
Yo te cazo con los de Torre' (La doble A) 
Fumando Kush como un jamaican (Anuel, Poffy) 
Oro amarillo son los Role' (Spiff) 
Te cazamo' con las Glopeta' (Glopeta') 
Se creen que soy Illuminati (Ey) 
Se creen que soy Illuminati (Real, Maybach Música) 
Se creen que soy Illuminati ('Esde las Torre' 'e control) 
Se creen que soy Illuminati (Illuminati, Anuel, así suena Eri') 
 
Los feos 'tán tirando foto', eso es lo que hacen (Ey) 
'Toy en Miami con Rick Ross, hay terro' en el Case' (Jajaja) 
Medio kilo en la muñeca, investigacione' (Investigacione') 
Y el diablo me dice: Apretale el botón a estos cabrone' (A estos cabrone') 
Endemonia'o, vesti'o 'e negro como Jay-Z (Jay-Z) 
Mando una puta a setearte dentro el May-C (Jaja) 
Maybach Mafia, los secuestramo' 
Violacione', grita' (Real) 
En mi Case' hay demonio' que a tí te decapitan (Un MC, jaja) 
Los más pendejo' en el juego siempre quieren hablar (Siempre) 
Colombianas me dicen: Papi no te vo'a olvidar (Muah, jajajajajaja) 
Hasta que muera flores violetas van a quemar (MMG) 
Real Pablo Escobar, ey 
 
Los feos me robaron el Rolex y las cadena' 
Pero ya los abogados 'tán maquinando (Jaja) 
Dímelo parcero (G-P) 
'Tamo aquí vivo y activo (Spiff) 
Siempre aborrecido (Mera dime Calle) 
'Toy pa' tí 24/7 (Así suena Eri') 
El que se (Sky) meta contigo la boca le vamo' a torcer (Jajajaja-ja) 
Free 
";1;"Mando una puta a setearte dentro el May-C
Maybach Mafia, los secuestramo'
Violacione', grita' (Real)"
monlaferte;Aunque Te Mueras Por Volver;" 
 
Ay, amor, amor 
Te quiero confesar 
Que no hay rencor 
Yo siempre te querré 
Sin condición 
Después de todo un año 
Yo te he perdonado 
 
Ay, qué mal que tú 
Seguro has de pensar 
Seguido en mí 
Te duele recordar 
Quien soy, quien fui 
Yo sé, sigues amándome 
Seguro con el tiempo 
 
Entenderás 
Que ya no hay vuelta atrás 
No has podido olvidarme 
Pero ya te solté 
 
Entenderás 
Que ya no hay vuelta atrás 
Pero ahora ya es tarde 
Aunque te mueras por volver 
 
Ay, amor, amor 
Mejor te dejo ir 
Mejor así 
Lo debes superar 
Mejor por ti 
Seguro ni has llorado 
Yo sé que con el tiempo 
 
";0;
